"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Ift88",1.4508033968991,1.36585081233048,10.4385342581862,8.96141166197148e-05,0.000125338013663327,1.67705761965167,1.4508033968991,8.96141166197148e-05,0.000125338013663327
"Zfp74",2.24612821694365,2.05613464887022,10.4366077695016,8.96995471350198e-05,0.000125446287744105,1.67596061288287,2.24612821694365,8.96995471350198e-05,0.000125446287744105
"Trnp1",1.25306528134752,0.92134118531378,10.4343021476238,8.98019165350091e-05,0.00012557822966397,1.67464746239672,1.25306528134752,8.98019165350091e-05,0.00012557822966397
"Enho",2.64605756184913,2.71568135421025,10.4298489840248,9.00000264605201e-05,0.000125844018769924,1.67211041514524,2.64605756184913,9.00000264605201e-05,0.000125844018769924
"Fetub",1.9949345365437,1.65669650667376,10.429070243042,9.00347235314812e-05,0.000125881286081185,1.67166664683704,1.9949345365437,9.00347235314812e-05,0.000125881286081185
"Dmtn",1.70115380402267,1.62827106985338,10.428485083489,9.00608058845398e-05,0.000125906503214623,1.67133317090246,1.70115380402267,9.00608058845398e-05,0.000125906503214623
"Car13",2.75006878470407,2.81457261924703,10.4275601790838,9.01020498607609e-05,0.000125952910150186,1.67080604193594,2.75006878470407,9.01020498607609e-05,0.000125952910150186
"Rad9a",1.89007899995502,1.87440174897242,10.4213571703613,9.03792344325642e-05,0.000126329098740578,1.66726962642452,1.89007899995502,9.03792344325642e-05,0.000126329098740578
"Zfp169",1.33906078224147,1.21897364185037,10.4181763350645,9.05217612172838e-05,0.000126517016749558,1.66545541644465,1.33906078224147,9.05217612172838e-05,0.000126517016749558
"Rnf152",2.20589339589849,1.95786820174901,10.4157667105498,9.06299078838165e-05,0.000126656854386529,1.66408072170198,2.20589339589849,9.06299078838165e-05,0.000126656854386529
"Ptp4a1.1",1.43930484819805,1.33548198691858,10.4123225731067,9.07847490110062e-05,0.000126861917532079,1.6621153118268,1.43930484819805,9.07847490110062e-05,0.000126861917532079
"Tle2",1.30588241206093,1.06378602355838,10.4066777639561,9.10392021275373e-05,0.000127206128662533,1.65889274664911,1.30588241206093,9.10392021275373e-05,0.000127206128662533
"Poc1a",1.26016059768698,1.30282742086436,10.4060401392223,9.10679973442096e-05,0.000127235002003767,1.65852862886166,1.26016059768698,9.10679973442096e-05,0.000127235002003767
"Neurl2",1.53507895470918,1.41016359833837,10.4051441190523,9.11084798657372e-05,0.000127280197566204,1.65801691771892,1.53507895470918,9.11084798657372e-05,0.000127280197566204
"Rsph9",1.28900671610554,1.0418716581563,10.394284434451,9.16008136896231e-05,0.000127956573166865,1.65181170020877,1.28900671610554,9.16008136896231e-05,0.000127956573166865
