"umap_1","umap_2","celltype","group","score"
-13.0810327289991,-0.748589130554217,"Bcell","G1_primary_CRC",0
-6.20775983318606,8.07443570860861,"Monocyte","G0_normal",0
2.35469224467954,-0.194712775263804,"CD8 T","G0_normal",0
-2.22164366230288,-15.079790594492,"CD4 T","G2_liver_met",0
-1.3168149946622,8.02045869597433,"CD45-","G0_normal",0
-5.546452021449,-4.91125774613382,"CD8 T","G2_liver_met",0
-6.99781749233523,-6.1458349250889,"Bcell","G0_normal",0
-9.72627828106204,1.23849081763266,"Bcell","G0_normal",0
12.4043398143359,6.17331838377951,"NK cell","G2_liver_met",0
-11.2115506885938,11.2432541824245,"CD4 T","G0_normal",0
1.00689854636869,-12.564804556284,"CD4 T","G2_liver_met",0
3.32485988155087,-0.241296114835757,"CD45-","G0_normal",0
8.97188379779538,-4.27559638253214,"NK cell","G2_liver_met",0
3.00688889041623,-3.33362674942972,"NK cell","G0_normal",2.49934840202332
-1.10579312428752,-2.93746376267435,"CD8 T","G2_liver_met",0
-1.94934401497165,-2.52330470314981,"CD8 T","G0_normal",0
-1.39784554228106,15.4874463058376,"Bcell","G0_normal",0
12.8952007533618,4.18805551299093,"CD4 T","G1_primary_CRC",0
2.51014592662534,4.71749639281271,"Bcell","G0_normal",0
3.01128222957334,-3.43307042351725,"CD8 T","G2_liver_met",1.98701810836792
-2.04572567924777,-2.18664825192453,"Macrophage","G1_primary_CRC",0
-4.5636901615552,-0.469085706833619,"Bcell","G1_primary_CRC",0
-2.14096627220431,8.22333478697775,"NK cell","G1_primary_CRC",0
2.95690538898191,-3.39654708138468,"NK cell","G2_liver_met",2.33917260169983
-1.31197068676272,-16.4482646011448,"CD4 T","G1_primary_CRC",0
2.41995885387143,-2.59913087121012,"CD4 T","G2_liver_met",1.67991387844086
-1.52368483528415,-1.99990463486673,"CD4 T","G1_primary_CRC",0
-4.14354202732364,-6.84327984086038,"CD4 T","G2_liver_met",0
