"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"214855_s_at",6.75034503,7.602756685,7.790725935,7.501866165,8.57842941,8.106092758,8.192217935,7.011999891,8.101971664,6.990031464,7.723738035,7.357395209,8.244211498,7.432200096,8.18384673,8.886236675,7.883881607,8.156606631,8.225670745,7.988628985,7.973559941,8.701050109,8.329170189,8.108893716
"204400_at",7.120973192,7.067011983,6.48568481,7.668851823,7.368463909,7.784500254,6.722727984,7.012184506,8.572689888,8.64638587,7.774815837,6.497104906,7.530255464,7.550849852,7.786269693,7.963576425,7.333921395,7.824643282,7.419866463,7.838643454,7.474256358,7.870647554,7.52816188,7.457169909
"205120_s_at",8.300669408,7.596455238,6.586098132,7.8524167,8.090967057,7.197771878,9.216974169,7.661500858,7.369779058,7.578781195,7.230390993,7.921647838,8.048138432,7.984101582,7.680428213,8.172804259,7.713804444,8.200461825,8.366149093,8.045084217,7.706640415,8.446135813,8.618712689,8.121181946
"219037_at",6.837851938,7.841503648,7.191428068,7.731128772,7.287461045,7.010187661,7.696528347,7.153165744,8.72684437,7.408781351,7.122128748,6.860830471,7.047436397,6.426134078,6.915841911,7.582417717,6.599024221,7.033341223,6.912063621,6.348386829,7.272343535,8.009614224,7.576108887,6.886307076
"214319_at",6.218776177,5.755327718,5.797568803,6.497918302,5.82173138,7.340048167,5.58092049,5.629698738,5.898380922,5.799177039,6.822816872,5.74244037,6.984310359,6.696347077,6.354576992,6.883505887,6.313276345,6.580293899,6.938784936,6.521829834,7.338308546,6.583560746,6.558721542,6.646310852
"211355_x_at",6.819867619,7.096061767,7.157517646,7.202534902,7.353194073,7.523691617,7.00796206,7.088090924,7.121961845,7.336923027,7.176991741,7.500021168,8.445802978,7.58655685,7.519931237,8.483578607,7.495151701,7.61979355,8.53228631,8.11923926,7.587238691,7.96521319,8.255775678,8.562223631
"209388_at",5.980985056,6.742549894,7.40042896,7.463311067,8.080280876,6.300761818,7.849376298,6.668407198,7.07850537,6.465481979,7.156274971,7.240390826,6.351787174,6.296348331,6.837019777,6.737900673,6.585461021,6.692806952,6.844237021,6.167360177,7.158216484,7.605367872,7.046741318,6.786897622
"200597_at",8.4964789,7.915729842,7.467662216,8.027310034,6.814908606,8.04557529,7.311702337,7.331658267,8.142952933,8.63717181,7.69025549,7.133278394,8.454220787,8.000720785,8.018819893,8.965311071,8.231601119,7.68416902,8.198044886,7.884901688,8.222584962,8.681605919,8.661544865,8.28132227
"207691_x_at",7.031702018,7.616592614,6.799171748,6.379943106,7.812257963,8.085074505,6.937700522,7.59591542,7.431380323,7.589307537,6.950982506,7.355483514,7.898878367,7.422485544,7.447759624,7.526586451,6.129386864,7.199416665,7.504307376,7.014729328,7.653508806,7.205112875,8.665669909,7.142113147
"213142_x_at",8.816184821,9.259430353,9.3078266,9.14942419,8.284451658,9.701416584,8.713567806,8.993703839,9.371232841,8.386930677,8.916072726,8.933876479,9.522583348,9.770715296,9.649298631,10.24765469,9.878263452,9.416376839,9.60681243,9.32542751,9.646592993,10.2639477,9.912614089,9.953789678
"213470_s_at",6.497078946,6.671406546,5.711272305,6.676985056,5.772698752,6.312027475,6.78820366,6.131556601,7.594060009,5.505861415,6.102240615,6.391139087,6.199919043,6.604714738,5.501215985,5.534807823,6.040599022,5.237654858,5.996264279,5.8700592,5.638200578,6.093992126,6.022936861,6.614127309
"218361_at",9.127137841,9.797104282,9.747862477,10.29384497,8.326432921,10.51144415,8.948906578,9.501426651,10.37675056,10.24346086,9.333101846,9.859322649,9.201771327,8.945377381,9.361275714,9.522547502,8.68329587,9.332357967,9.368805764,9.213681919,9.342219923,9.290473915,9.574726908,9.216829762
"208178_x_at",8.367854924,8.486388202,9.317167137,9.213184275,8.588481761,8.437481752,9.601605133,10.35882227,9.173224387,8.918337162,9.1327974,8.358064245,8.85246616,9.018464001,8.453684355,8.115902029,8.514277709,8.513455729,8.44233607,8.287304765,8.370577994,8.960134091,8.008563543,8.723779874
"213134_x_at",10.29932857,9.370788574,10.77015049,10.57249432,10.58922469,10.9219297,8.86325685,9.940572002,10.72107324,10.25581333,10.59565236,9.835301822,10.49147315,10.99240922,10.42356851,10.87979492,10.46755241,10.35828029,10.46734653,10.35402462,10.69017429,11.2773014,11.01981878,10.54584585
"220005_at",7.85921587,7.579149749,7.083342396,6.629216615,7.852966658,8.189052123,7.152134468,7.784943843,7.608397795,6.721928945,7.428930272,7.131757854,7.873586917,7.688015034,8.492434712,7.588429013,7.394425526,8.098047349,7.75643147,7.622423659,8.865160823,8.414035654,7.448302882,7.950835196
"204667_at",7.641801579,8.451234692,8.202059798,8.259814104,8.559227218,8.07211675,8.749706833,8.004969603,8.16944122,6.9869773,7.733701537,7.417039079,7.204356574,7.26087281,7.591741083,7.62432668,7.321183606,7.065919997,7.468715151,7.121074046,6.915059572,7.357617265,7.293996675,7.32026299
"201222_s_at",9.275203825,9.562036779,9.704853437,10.15304969,9.443970219,9.649451899,8.738749868,9.361172718,10.06240839,9.365120708,8.335831126,9.73101183,9.061553515,9.070418694,8.168585765,8.550647566,8.792820455,8.486966699,9.244039245,8.631189146,8.828002413,9.184970489,9.59710669,9.17175473
"210757_x_at",9.930547651,10.00745739,9.105165084,8.592671452,8.785608365,10.11154764,9.48589593,10.12333443,9.215124529,9.432749961,9.426997004,9.638575537,10.4281776,10.02900897,10.05676579,9.537606211,9.315646429,10.4744617,10.13483863,9.655768695,10.56583734,10.32411619,10.19807372,9.883725482
"212611_at",8.615674725,9.828168554,10.44613033,8.886186214,8.648605623,9.98480477,9.93846778,10.04982702,10.36768525,9.599430561,10.21833633,9.239798789,9.993382223,9.635900447,9.857598812,10.35341619,10.24283411,10.37467048,10.19067574,9.927045941,10.15760862,10.02715224,9.561091569,10.21852176
"219389_at",8.549381802,8.984730826,8.645881761,8.653811023,9.238099961,9.61654759,8.619640163,8.574080041,9.647877707,10.80123563,9.422313386,8.622960935,8.815914708,8.855689171,8.887035017,8.959567235,8.72983587,8.748383285,8.497112676,8.453276418,8.945262273,8.380180495,8.722051686,8.671311478
"202218_s_at",9.090431448,8.940914382,7.712946276,8.781050914,8.701239527,8.088391824,9.242017035,7.462592373,7.475463793,7.927020931,8.394245419,7.545119963,7.84779837,8.068029571,7.73803192,7.616301631,7.765741947,7.871885149,8.182872623,7.503934789,7.994560464,7.841349969,8.452685644,7.996375974
"203085_s_at",8.704994436,8.457967282,8.469632465,6.738760373,7.77802707,8.692605124,8.519125798,9.393360076,8.528185545,8.599136098,9.270939101,8.533054444,8.768472063,8.295206851,9.011344627,8.229491065,8.49228737,8.78337907,8.907284339,8.929267109,8.751186468,9.012180755,8.892010031,8.923217199
"215416_s_at",8.582949667,8.076898272,8.313479798,9.750488856,10.03539386,8.490730319,9.127750021,8.834842622,8.662396957,9.508467242,8.393631529,8.095719647,7.99969907,8.456717088,8.237738507,8.430313224,8.122816679,8.690710532,8.531125315,8.375176293,8.345177902,8.35230103,8.972080684,8.63019207
"203411_s_at",10.21052149,10.01928709,10.64518562,11.06809066,9.172627513,9.5257793,10.07273071,10.25872502,9.392399376,10.84693276,10.62964408,10.25569855,10.61007259,10.4490926,9.922104461,9.856964934,11.38200711,10.26973046,10.32837955,10.7367404,9.731901879,10.53777678,10.58187236,10.5394943
