"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.1990503702352e-26,1.99776825257728,0.145,0.031,3.92545110207601e-22,"0","BCL11B"
1.3504213233364e-26,-3.84407551706563,0.009,0.113,4.42100932833871e-22,"0","CLEC7A"
1.74996884850974e-26,-3.79831724428779,0.01,0.114,5.72904801625118e-22,"0","HMOX1"
1.92396103236636e-26,1.99086331122413,0.18,0.053,6.29866362776098e-22,"0","RCAN3"
2.19810483254792e-26,-3.10023913187508,0.027,0.146,7.19615560079537e-22,"0","EAF2"
2.73001427103343e-26,-1.3080439602341,0.193,0.37,8.93752072050925e-22,"0","PTPN6"
4.6232613092195e-26,-2.87112149310141,0.018,0.13,1.51356328741228e-21,"0","SCIMP"
4.98278760335267e-26,-7.02905780063587,0.001,0.091,1.6312650055856e-21,"0","RAB31"
5.59400599397034e-26,-2.21503032413141,0.057,0.196,1.83136568230601e-21,"0","WARS"
5.70882398142592e-26,-3.06214324304778,0.018,0.128,1.86895479503922e-21,"0","TESC"
5.90780951019233e-26,-4.07456792480491,0.008,0.109,1.93409867744676e-21,"0","TNFAIP2"
7.6165123507892e-26,-1.87139106951114,0.053,0.19,2.49349381340137e-21,"0","GCA"
1.15863335415047e-25,-3.5982758966026,0.007,0.104,3.7931338748178e-21,"0","CD300E"
1.27758125072116e-25,-3.86146510971731,0.008,0.108,4.18254549861095e-21,"0","ASCL2"
1.32640851554716e-25,-4.77068626117045,0.099,0.242,4.34239619819829e-21,"0","GNLY"
1.39803763630003e-25,1.33604328242163,0.344,0.175,4.57689561371904e-21,"0","SLC2A3"
1.51225127574492e-25,2.91571741745791,0.113,0.017,4.95080822653373e-21,"0","CRIP2"
1.57192054326913e-25,-2.94555868054474,0.018,0.127,5.14615347455446e-21,"0","SYK"
1.86323350716519e-25,1.10584716830978,0.424,0.244,6.0998538557574e-21,"0","NDFIP1"
2.32013632251016e-25,4.53492808093076,0.084,0.005,7.59566229263377e-21,"0","TSHZ2"
2.50383011857625e-25,-5.41049036172787,0.005,0.099,8.19703904219492e-21,"0","FCER2"
3.16553476246375e-25,-1.78438726512673,0.078,0.228,1.03633277053538e-20,"0","OAZ2"
3.40788363248684e-25,-2.95162575382856,0.017,0.124,1.11567294360354e-20,"0","CX3CR1"
5.66976916594797e-25,-4.9304203220937,0.003,0.094,1.85616902954805e-20,"0","CD1D"
7.51285786872656e-25,1.57959248970257,0.201,0.068,2.4595594090637e-20,"0","MGAT4A"
8.34069756777949e-25,-2.41345960535784,0.023,0.134,2.73057756973965e-20,"0","ALOX5"
1.0046452335026e-24,-1.92242760522942,0.057,0.192,3.28900756544083e-20,"0","SCO2"
1.1471180213652e-24,1.29986232423098,0.177,0.052,3.7554349783454e-20,"0","BEX2"
1.33704442866514e-24,-3.34348417832053,0.012,0.112,4.37721605056392e-20,"0","PRAM1"
1.61342279231619e-24,3.39562186292637,0.088,0.007,5.28202353748475e-20,"0","CMTM8"
1.64766452136304e-24,3.04064544765438,0.091,0.009,5.39412411003833e-20,"0","FBLN5"
3.26853245925904e-24,-4.15349747232751,0.006,0.097,1.07005215651222e-19,"0","SIGLEC10"
3.67903565434139e-24,-3.62302142784371,0.01,0.106,1.20444269251829e-19,"0","CD302"
6.55161289775787e-24,1.17856533290155,0.224,0.085,2.14486703046797e-19,"0","MYC"
