herb,herb_zh,compound_id,target_gene
Sanqi,三七,quercetin,Peroxisome
Sanqi,三七,quercetin,Coagulation
Sanqi,三七,quercetin,Apoptosis
Sanqi,三七,quercetin,Arachidonate
Sanqi,三七,quercetin,Nitric-oxide
Sanqi,三七,quercetin,Ornithine
Sanqi,三七,quercetin,Retinoic
Sanqi,三七,quercetin,Acetylcholinesterase
Sanqi,三七,quercetin,Acetyl-CoA
Sanqi,三七,quercetin,Beta-2
Sanqi,三七,quercetin,Tumor
Sanqi,三七,quercetin,DNA
Sanqi,三七,quercetin,Aldose
Sanqi,三七,quercetin,Epidermal
Sanqi,三七,quercetin,Gamma-aminobutyric-acid
Sanqi,三七,quercetin,"Maltase-glucoamylase,"
Sanqi,三七,quercetin,Dipeptidyl
Sanqi,三七,quercetin,Urokinase-type
Sanqi,三七,quercetin,Interleukin-6
Sanqi,三七,quercetin,Interstitial
Sanqi,三七,quercetin,Mitogen-activated
Sanqi,三七,quercetin,Serum
Sanqi,三七,quercetin,Cathepsin
Sanqi,三七,quercetin,Interferon
Sanqi,三七,quercetin,Transcription
Sanqi,三七,quercetin,Small
Sanqi,三七,quercetin,Interleukin-1
Sanqi,三七,quercetin,E-selectin
Sanqi,三七,quercetin,Myeloperoxidase
Sanqi,三七,quercetin,Cell
Sanqi,三七,quercetin,Tissue-type
Sanqi,三七,quercetin,Gap
Sanqi,三七,quercetin,Vascular
Sanqi,三七,quercetin,Stromelysin-1
Sanqi,三七,quercetin,Heat
Sanqi,三七,quercetin,Thrombomodulin
Sanqi,三七,quercetin,Tissue
Sanqi,三七,quercetin,NAD(P)H
Sanqi,三七,quercetin,"Phosphatidylinositol-4,5-bisphosphate"
Sanqi,三七,quercetin,Amine
Sanqi,三七,quercetin,Xanthine
Sanqi,三七,quercetin,Superoxide
Sanqi,三七,quercetin,Cytochrome
Sanqi,三七,quercetin,Cellular
Sanqi,三七,quercetin,cAMP-dependent
Sanqi,三七,quercetin,Heme
Sanqi,三七,quercetin,Collagen
Sanqi,三七,quercetin,Retinoblastoma-associated
Sanqi,三七,quercetin,Trypsin-1
Sanqi,三七,quercetin,Glutathione
Sanqi,三七,quercetin,Prostatic
Sanqi,三七,quercetin,Aryl
Sanqi,三七,quercetin,Nuclear
Sanqi,三七,quercetin,Interleukin-2
Sanqi,三七,quercetin,Activator
Sanqi,三七,quercetin,ATP-binding
Sanqi,三七,quercetin,Baculoviral
Sanqi,三七,quercetin,Bcl-2-like
Sanqi,三七,quercetin,Caspase-3
Sanqi,三七,quercetin,Caspase-8
Sanqi,三七,quercetin,Caspase-9
Sanqi,三七,quercetin,Caveolin-1
Sanqi,三七,quercetin,CD40
Sanqi,三七,quercetin,Claudin-4
Sanqi,三七,quercetin,C-reactive
Sanqi,三七,quercetin,C-X-C
Sanqi,三七,quercetin,Cyclin-dependent
Sanqi,三七,quercetin,DDB1-
Sanqi,三七,quercetin,Dual
Sanqi,三七,quercetin,ETS
Sanqi,三七,quercetin,Eukaryotic
Sanqi,三七,quercetin,G1/S-specific
Sanqi,三七,quercetin,G2/mitotic-specific
Sanqi,三七,quercetin,Hexokinase-2
Sanqi,三七,quercetin,Homeobox
Sanqi,三七,quercetin,Hyaluronan
Sanqi,三七,quercetin,Hypoxia-inducible
Sanqi,三七,quercetin,Inhibitor
Sanqi,三七,quercetin,Insulin-like
Sanqi,三七,quercetin,Intercellular
Sanqi,三七,quercetin,Interleukin-10
Sanqi,三七,quercetin,Interleukin-8
Sanqi,三七,quercetin,Matrix
Sanqi,三七,quercetin,Myc
Sanqi,三七,quercetin,Neutrophil
Sanqi,三七,quercetin,NF-kappa-B
Sanqi,三七,quercetin,Nitric
Sanqi,三七,quercetin,Osteopontin
Sanqi,三七,quercetin,Peroxidase
Sanqi,三七,quercetin,Plasminogen
Sanqi,三七,quercetin,Poly
Sanqi,三七,quercetin,Probable
Sanqi,三七,quercetin,Procollagen
Sanqi,三七,quercetin,Protein
Sanqi,三七,quercetin,Proto-oncogene
Sanqi,三七,quercetin,Puromycin-sensitive
Sanqi,三七,quercetin,RAC-alpha
Sanqi,三七,quercetin,RAF
Sanqi,三七,quercetin,Ras
Sanqi,三七,quercetin,Receptor
Sanqi,三七,quercetin,Runt-related
Sanqi,三七,quercetin,Serine/threonine-protein
Sanqi,三七,quercetin,Signal
Sanqi,三七,quercetin,Solute
Sanqi,三七,quercetin,Transforming
Sanqi,三七,quercetin,Type
Sanqi,三七,quercetin,"Phosphatidylinositol-3,4,5-trisphosphate"
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",D(1A)
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Muscarinic
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Sodium
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Prostaglandin
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Carbonic
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Retinoic
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Delta-type
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",cGMP-inhibited
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Alpha-1A
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Alpha-1B
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Sodium-dependent
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Beta-2
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Alpha-1D
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",DNA
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Mu-type
