herb_zh,gene,herb_en
黄芪,TOP1,Huangqi
黄芪,TOP2A,Huangqi
黄芪,TOP2B,Huangqi
黄芪,TP53,Huangqi
黄芪,VCAM1,Huangqi
黄芪,VEGFC,Huangqi
黄芪,XDH,Huangqi
黄连,ABCG4,Huanglian
黄连,ACACB,Huanglian
黄连,ACHE,Huanglian
黄连,ACP3,Huanglian
黄连,ADRA1A,Huanglian
黄连,ADRA1B,Huanglian
黄连,ADRA1D,Huanglian
黄连,ADRA2C,Huanglian
黄连,ADRB2,Huanglian
黄连,AHR,Huanglian
黄连,AHSA1,Huanglian
黄连,AKR1B1,Huanglian
黄连,AKT1,Huanglian
黄连,AOC2,Huanglian
黄连,AR,Huanglian
黄连,BAK1,Huanglian
黄连,BAX,Huanglian
黄连,C3,Huanglian
黄连,CALML5,Huanglian
黄连,CASP3,Huanglian
黄连,CASP8,Huanglian
黄连,CASP9,Huanglian
黄连,CAV1,Huanglian
黄连,CCNB1,Huanglian
黄连,CCND3,Huanglian
黄连,CD40LG,Huanglian
黄连,CDK1,Huanglian
黄连,CDKN1C,Huanglian
黄连,CDKN2A,Huanglian
黄连,CHEK1,Huanglian
黄连,CHEK2,Huanglian
黄连,CHRM2,Huanglian
黄连,CHRM4,Huanglian
黄连,CLDN4,Huanglian
黄连,COL3A1,Huanglian
黄连,CRP,Huanglian
黄连,CTSC,Huanglian
黄连,CTSD,Huanglian
黄连,CX3CR1,Huanglian
黄连,CXCL13,Huanglian
黄连,CXCL2,Huanglian
黄连,CYP1A1,Huanglian
黄连,CYP1B1,Huanglian
黄连,CYP3A4,Huanglian
黄连,DDB1,Huanglian
黄连,DIO1,Huanglian
黄连,DUOXA1,Huanglian
黄连,E2F1,Huanglian
黄连,E2F2,Huanglian
黄连,EGF,Huanglian
黄连,EIF2A,Huanglian
黄连,ELK1,Huanglian
黄连,ERBB2,Huanglian
黄连,ERBB3,Huanglian
黄连,ESR2,Huanglian
黄连,F10,Huanglian
黄连,F3,Huanglian
黄连,F7,Huanglian
黄连,FOS,Huanglian
黄连,GABRA1,Huanglian
黄连,GABRA2,Huanglian
黄连,GABRA6,Huanglian
黄连,GAPDH,Huanglian
黄连,GJA1,Huanglian
黄连,GRIN2A,Huanglian
黄连,GSTM2,Huanglian
黄连,HAS2,Huanglian
黄连,HERC5,Huanglian
黄连,HIF1AN,Huanglian
黄连,HK2,Huanglian
黄连,HMOX1,Huanglian
黄连,HSP90AA2P,Huanglian
黄连,HSPA5,Huanglian
黄连,HSPB1,Huanglian
黄连,HTR2A,Huanglian
黄连,HTR2C,Huanglian
黄连,ICAM2,Huanglian
黄连,IFNG,Huanglian
黄连,IGF2,Huanglian
黄连,IGFBP6,Huanglian
黄连,IL10,Huanglian
黄连,IL1A,Huanglian
黄连,IL1B,Huanglian
黄连,IL2,Huanglian
黄连,IL36A,Huanglian
黄连,IL36B,Huanglian
黄连,IRF3,Huanglian
黄连,JUN,Huanglian
黄连,KCNC2,Huanglian
黄连,KCNU1,Huanglian
黄连,MAP3K7,Huanglian
黄连,MGAM,Huanglian
黄连,MMP1,Huanglian
黄连,MMP2,Huanglian
黄连,MMP3,Huanglian
黄连,MMP9,Huanglian
黄连,MPO,Huanglian
黄连,MYC,Huanglian
黄连,NAIP,Huanglian
黄连,NCF2,Huanglian
黄连,NCOA7,Huanglian
黄连,NFE2L2,Huanglian
黄连,NFKB1,Huanglian
黄连,NFKBIE,Huanglian
黄连,NKX3-1,Huanglian
黄连,NOS2,Huanglian
黄连,NOS3,Huanglian
黄连,NPEPPS,Huanglian
黄连,NR1I2,Huanglian
黄连,NR3C2,Huanglian
黄连,ODC1,Huanglian
黄连,OPRD1,Huanglian
黄连,OPRM1,Huanglian
黄连,PARG,Huanglian
黄连,PCOLCE,Huanglian
黄连,PDE10A,Huanglian
黄连,PIK3CG,Huanglian
黄连,PIM1,Huanglian
黄连,PLAT,Huanglian
黄连,PLAU,Huanglian
黄连,PNRC2,Huanglian
黄连,PON2,Huanglian
黄连,PPARA,Huanglian
黄连,PPARD,Huanglian
黄连,PPARG,Huanglian
黄连,PRKACA,Huanglian
黄连,PRKCB,Huanglian
黄连,PRSS1,Huanglian
黄连,PSMD11,Huanglian
黄连,PTEN,Huanglian
黄连,PTGER3,Huanglian
黄连,PTGS1,Huanglian
黄连,PTGS2,Huanglian
黄连,RAF1,Huanglian
黄连,RASA1,Huanglian
黄连,RASSF1,Huanglian
黄连,RBL1,Huanglian
黄连,RELA,Huanglian
黄连,RUNX1T1,Huanglian
黄连,RUNX2,Huanglian
黄连,RXRA,Huanglian
黄连,SCNN1A,Huanglian
黄连,SELE,Huanglian
黄连,SERPINE1,Huanglian
黄连,SLC2A2,Huanglian
黄连,SLC6A2,Huanglian
黄连,SLC6A3,Huanglian
黄连,SLC6A4,Huanglian
黄连,SOD1,Huanglian
黄连,SPP1,Huanglian
黄连,STAT4,Huanglian
黄连,TGFB1,Huanglian
黄连,THBD,Huanglian
黄连,TNF,Huanglian
黄连,TOP1,Huanglian
黄连,TOP2A,Huanglian
黄连,TOP2B,Huanglian
黄连,TP53,Huanglian
黄连,VCAM1,Huanglian
黄连,XDH,Huanglian
